id,zonepolygon
86416,"POLYGON ((58.49696667585837 23.64247792187869, 58.50383313093649 23.64247792187869, 58.501773194413055 23.474424057663537, 58.15982373152243 23.47568368632512, 58.15364392195212 23.72170946383613, 58.282046631913055 23.629897069847864, 58.49696667585837 23.64247792187869))"
107279,"POLYGON ((57.56336475393678 23.80866287259563, 57.56396556875612 23.797511647866116, 57.587998161529555 23.796569246979363, 57.58808399221803 23.808976977737423, 57.56559635183717 23.809683711528415, 57.56336475393678 23.80866287259563))"
86415,"POLYGON ((58.63030866802894 23.63019171099184, 58.69210676373206 23.62704631617789, 58.673567335021126 23.479127685358364, 58.62172559918128 23.47031026235637, 58.63219694317542 23.550904746587477, 58.61520246685706 23.631449847765005, 58.63030866802894 23.63019171099184))"
86412,"POLYGON ((58.0217770837149 23.739493114230097, 58.14743321164459 23.745149898364236, 58.15189640744537 23.463112948136168, 58.01937382443756 23.469411511071083, 58.0217770837149 23.739493114230097))"
32919,"POLYGON ((57.62143374833983 19.715770821289826, 57.76082278642577 19.70284244303157, 57.74708987626952 19.462832194923347, 57.553455843066395 19.490668395104638, 57.62143374833983 19.715770821289826))"
109953,"POLYGON ((57.668405628223105 23.06843853176718, 57.67922029497115 23.070333737219926, 57.68059358598678 23.06223944412888, 57.67110929491012 23.061765616764728, 57.668405628223105 23.06843853176718))"
109951,"POLYGON ((57.53824466043847 23.142236686926058, 57.54109853083032 23.142424131454337, 57.54149549776452 23.13946445040619, 57.53858798319238 23.139415121835142, 57.53826611811059 23.14215776283574, 57.53831976229089 23.142068973178585, 57.53824466043847 23.142236686926058))"
109954,"POLYGON ((57.493893443916676 22.947664016677642, 57.57697755036199 22.957780523707754, 57.57423096833074 22.86354130210632, 57.49252015290105 22.865439381985297, 57.493893443916676 22.947664016677642))"
86419,"POLYGON ((56.667669238244876 24.423754970990363, 56.695135058557376 24.44563504455154, 56.79469865719019 24.325560555273338, 56.713674487268314 24.28112914954901, 56.647756518518314 24.395617871750133, 56.667669238244876 24.423754970990363))"
110356,"POLYGON ((58.8135511277404 22.489244712901243, 58.833978831597825 22.471162361244378, 58.87208765728142 22.375635741605354, 58.76994913799431 22.379762833250044, 58.75140970928337 22.439591898018634, 58.711412608453294 22.48845167682282, 58.7421399949279 22.529683524552592, 58.8135511277404 22.489244712901243))"
86418,"POLYGON ((58.50568641200962 23.642108695663282, 58.50431312099399 23.474369268119286, 58.614863047751804 23.47468417654296, 58.63202918544712 23.549296256757998, 58.61074317470493 23.63456030822807, 58.50568641200962 23.642108695663282))"
